,country,year,born,male_born,female_born,birth_rate,fertility_rate,variation
809,canada,2020,388729.0,199381.0,189348.0,9.4,1.4,-4.76
810,democratic_republic_of_congo,2020,,,,40.11,5.72,-1.74
811,central_african_republic,2020,,,,34.88,4.57,-1.66
812,republic_of_congo,2020,,,,31.99,4.32,-1.21
813,swiss,2021,89644.0,44299.0,41615.0,10.3,1.46,-1.35
814,ivory_coast,2020,,,,35.17,4.54,-1.24
815,chili,2020,,,,11.99,1.61,-0.98
816,cameroon,2020,,,,34.42,4.44,-1.4
817,colombia,2020,649742.0,333299.0,316443.0,14.42,1.77,-1.01
818,costa_rica,2020,,,,13.4,1.72,-0.92
819,cuba,2020,,,,9.78,1.59,-0.75
820,cape_verde,2020,,,,18.64,2.21,-1.29
821,cyprus,2021,10150.0,5190.0,4740.0,11.3,1.36,2.26
822,czech_republic,2021,111793.0,56276.0,53924.0,10.6,1.71,0.0
823,djibouti,2020,,,,20.54,2.63,-1.83
824,denmark,2021,63473.0,31175.0,29762.0,10.8,1.68,-1.18
825,dominica,2017,,,,9.6,1.9,0.0
826,dominican_republic,2020,,,,18.86,2.3,-1.03
827,algeria,2020,,,,22.78,2.94,-1.54
828,ecuador,2020,,,,19.19,2.38,-0.96
829,estonia,2021,13272.0,6736.0,6473.0,10.0,1.58,-4.82
830,egypt,2020,,,,25.07,3.24,-1.34
831,eritrea,2020,,,,29.22,3.93,-1.6
832,ethiopia,2020,,,,31.44,4.05,-2.34
833,finland,2021,49594.0,23778.0,22685.0,9.0,1.37,1.48
834,fiji,2020,,,,20.6,2.73,-0.91
835,federated_states_of_micronesia,2020,,,,22.61,2.97,-1.4
836,gabon,2020,,,,30.26,3.87,-1.35
837,grenade,2020,,,,15.9,2.02,-0.93
838,georgia,2021,45946.0,24289.0,22231.0,12.4,1.98,-1.98
839,ghana,2020,,,,28.6,3.77,-1.34
840,gambia,2020,,,,37.59,5.09,-1.3
841,guinea,2020,,,,35.57,4.55,-1.58
842,equatorial_guinea,2020,,,,32.35,4.35,-1.87
843,greece,2021,85303.0,43531.0,41233.0,8.0,1.39,3.73
844,guatemala,2020,,,,23.85,2.78,-1.59
845,guinea-bissau,2020,,,,34.01,4.33,-1.61
846,guyana,2020,,,,19.47,2.42,-0.9
